Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;2022-05-06;2;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;2022-05-06;Totalt i retning Nova;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;2022-05-06;Totalt i retning Pyramiden;36;100,0;24;24;0;36;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;2022-05-06;Totalt;54;100,0;24;24;0;54;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;2022-05-07;1;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;2022-05-07;2;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;2022-05-07;Totalt i retning Nova;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;2022-05-07;Totalt i retning Pyramiden;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;2022-05-07;Totalt;29;100,0;24;24;0;29;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;2022-05-08;1;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;2022-05-08;2;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;2022-05-08;Totalt i retning Nova;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;2022-05-08;Totalt i retning Pyramiden;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;2022-05-08;Totalt;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;1;48;100,0;24;24;0;48;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;2;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
