Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;3563;3186;3940;99,7;30;30;0;3;99,9;4;3289;270;111;86;56;18;18;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;4543;4037;5049;99,7;30;30;0;3;99,9;Totalt i retning HANSJORDNESBUKTA;4227;313;132;104;57;19;19;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5428;5067;5789;99,7;30;30;0;3;99,9;Totalt i retning LANGNESTUNNELEN;5045;380;153;134;69;25;25;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;9972;9185;10759;99,7;30;30;0;7;99,9;Totalt;9272;693;285;238;126;44;44;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5105;4629;5581;99,9;31;31;0;5;99,9;1;4774;326;132;106;65;22;22;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;616;515;717;99,9;31;31;0;1;99,8;2;585;30;16;12;1;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;3854;3515;4193;99,9;31;31;0;5;99,9;4;3588;261;102;82;61;16;16;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;4468;4041;4895;99,9;31;31;0;5;99,9;Totalt i retning HANSJORDNESBUKTA;4172;291;118;94;62;17;17;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5106;4630;5582;99,9;31;31;0;4;99,9;Totalt i retning LANGNESTUNNELEN;4775;327;132;107;65;22;22;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;9574;8674;10474;99,9;31;31;0;9;99,9;Totalt;8947;617;250;201;127;39;39;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4825;4493;5157;99,9;31;31;0;1;100,0;1;4469;355;145;112;73;25;25;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;649;551;747;99,9;31;31;0;0;100,0;2;620;29;16;11;1;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;3640;3374;3906;99,9;31;31;0;5;99,9;4;3345;291;116;87;71;17;17;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4288;3943;4633;99,9;31;31;0;5;99,9;Totalt i retning HANSJORDNESBUKTA;3964;319;132;98;72;18;18;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4826;4494;5158;99,9;31;31;0;1;100,0;Totalt i retning LANGNESTUNNELEN;4469;355;145;112;73;25;25;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;9114;8440;9788;99,9;31;31;0;6;99,9;Totalt;8433;674;277;210;145;42;42;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4991;4655;5327;99,5;28;28;0;1;100,0;1;4619;371;151;115;76;28;28;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;662;579;745;99,5;28;28;0;1;99,8;2;630;30;16;12;1;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3852;3573;4131;99,5;28;28;0;13;99,7;4;3537;302;117;90;74;21;21;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4513;4161;4865;99,5;28;28;0;13;99,7;Totalt i retning HANSJORDNESBUKTA;4167;332;133;102;75;22;22;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4992;4656;5328;99,5;28;28;0;1;100,0;Totalt i retning LANGNESTUNNELEN;4620;371;151;116;76;28;28;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;9505;8822;10188;99,5;28;28;0;15;99,8;Totalt;8787;703;285;218;151;50;50;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5229;4893;5565;93,0;31;29;2;0;100,0;1;4825;404;153;131;88;31;31;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1310;1127;1493;93,0;31;29;2;1;99,9;2;1244;65;26;35;2;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3694;3286;4102;93,0;31;29;2;48;98,7;4;3371;276;111;86;62;16;16;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;4974;4480;5468;93,0;31;29;2;29;99,4;Totalt i retning HANSJORDNESBUKTA;4610;335;136;119;64;16;16;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5260;4912;5608;93,0;31;29;2;21;99,6;Totalt i retning LANGNESTUNNELEN;4830;409;155;133;89;32;32;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;10233;9428;11038;93,0;31;29;2;49;99,5;Totalt;9440;744;291;252;152;50;49;1
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4645;4186;5104;99,8;30;30;0;0;100,0;1;4354;291;120;93;53;26;26;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;1344;1180;1508;99,8;30;30;0;1;99,9;2;1309;34;16;15;2;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;3636;3264;4008;99,8;30;30;0;0;100,0;4;3398;237;95;76;50;16;16;0
